province,constituency,number,candidate_name,party,votes_llm,votes_kn,diff,abs_diff
กรุงเทพมหานคร,6,6,นายอัศวิน อัศวินวิจตร,เศรษฐกิจ,1679,1388,291,291
สุพรรณบุรี,1,6,นายบุญชู จันทร์สุวรรณ,กล้าธรรม,800,511,289,289
ปทุมธานี,2,9,นายสมัย รามัญอุดม,พรรคพลังประชารัฐ,438,727,-289,289
ศรีสะเกษ,4,9,นายวาสิทธิ์ พวงสวัสดิ์,ปวงชนไทย,93,372,-279,279
ศรีสะเกษ,4,8,นายสายัณห์ หล้าบุดดา,ประชากรไทย,372,93,279,279
นครพนม,3,3,นางเกศราพร พูลสวัสดิ์,เศรษฐกิจ,1136,865,271,271
นครพนม,3,5,นายธงชัย พานิชดี,ปวงชนไทย,865,594,271,271
กรุงเทพมหานคร,5,1,นายทนัฏฐ์ ปานโสภณ,พรรคพลวัต,245,507,-262,262
ขอนแก่น,9,1,นายเกียรติศิริกุล ทีนรส,ไทยสร้างไทย,397,654,-257,257
ขอนแก่น,9,8,นายวีระ วิชาธรรม,ไทยภักดี,654,397,257,257
ปทุมธานี,5,9,นายอดิศร แจ้งจันทร์,ไทยก้าวใหม่,930,1185,-255,255
กรุงเทพมหานคร,8,7,นายอนุชาญ กวางทอง,พลังประชารัฐ,857,607,250,250
สระแก้ว,3,7,นางสาวนงรัตน์ จันทะมา,ไทยก้าวใหม่,484,243,241,241
สระแก้ว,3,8,นายพูลศักดิ์ เย็นประสพ,ประชาธิปไตยใหม่,243,484,-241,241
บึงกาฬ,3,8,string,ประชาธิปไตยใหม่,425,666,-241,241
กรุงเทพมหานคร,28,7,นายจักรทิพย์ วงษ์งามสวย,รวมไทยสร้างชาติ,1831,2071,-240,240
กรุงเทพมหานคร,8,10,นางสาววีริสรา ช่วงยรรยง,ปวงชนไทย,224,462,-238,238
ศรีสะเกษ,3,8,นายโดม ศรีศรุติกุล,พรรคประชาธิปไตยใหม่,341,113,228,228
กรุงเทพมหานคร,8,4,นายอนันตชาติ บัวสุวรรณ์,โอกาสใหม่,607,385,222,222
ชัยภูมิ,5,11,นายหนูเสน พรมวงศ์,ทางเลือกใหม่,71,278,-207,207
กรุงเทพมหานคร,32,5,นางสาวไปรพร แสงจันทร์,ไทยก้าวใหม่,700,497,203,203
นนทบุรี,3,6,นายวุฒิบูรณ์ วิ่งวน,กล้าธรรม,1160,957,203,203
มหาสารคาม,6,3,นางสาวธัญลักษณ์ อุทัยจอม,พรรคประชาธิปัตย์,611,419,192,192
อุบลราชธานี,3,8,นายมิตร อนุวรรณ,ทางเลือกใหม่,745,554,191,191
กรุงเทพมหานคร,3,7,นายสุกฤษฎิ์ชัย ธีระเริงฤทธิ์,ไทยก้าวใหม่,665,489,176,176
บึงกาฬ,3,7,string,พลวัต,113,287,-174,174
จันทบุรี,3,2,นายอดุลย์ ศรีภูมิสวัสดิ์,รักชาติ,1030,856,174,174
ศรีสะเกษ,1,6,นายเนียม ผลบุญ,ประชาธิปไตยใหม่,394,222,172,172
กรุงเทพมหานคร,22,10,นายปรนัยน์ นพการุญ,พลวัต,425,253,172,172
กรุงเทพมหานคร,3,5,นายธีระพงษ์ มงคลวัฒนลีลา,พลังประชารัฐ,375,545,-170,170
เพชรบูรณ์,4,3,นายภาณุวัฒน์ หาญเชิงชัย,พรรคประชาธิปัตย์,593,424,169,169
กรุงเทพมหานคร,8,2,นางสาวพิมพ์ณดา ธีระประจักษ์ชาติ,กล้าธรรม,385,224,161,161
เพชรบูรณ์,2,8,นายวงศ์วิศว์ ผลลอย,พลังประชารัฐ,239,88,151,151
เพชรบูรณ์,2,9,นายมนตรี ผลจันทร์,พร้อม,88,239,-151,151
สกลนคร,5,8,นางสาวยุพวรรณ์ สิทธิคงศักดิ์,ประชาธิปัตย์,221,76,145,145
อุดรธานี,5,5,นายหนูพิศ สีดามาตย์,รวมไทยสร้างชาติ,296,436,-140,140
อุดรธานี,5,8,นายองอาจ วิเศษ,พลังประชารัฐ,436,296,140,140
ชลบุรี,8,8,นายชนะศักดิ์ รุ่งเสถียร,เสรีรวมไทย,1181,1043,138,138
ชลบุรี,4,4,นายศุภศิษฎ์ สรภัสจิรพงศ์,พลังประชารัฐ,987,850,137,137
กรุงเทพมหานคร,14,8,นายปรีชาชัย พิพรรธน์ธนาดุล,รวมไทยสร้างชาติ,1333,1199,134,134
ร้อยเอ็ด,6,1,นายพิชัย น้ำกระจาย,กล้าธรรม,620,752,-132,132
ร้อยเอ็ด,6,8,นายกันตภณ โชคกลางเดือน,รวมไทยสร้างชาติ,752,620,132,132
ลำปาง,3,8,นายวิชัย หมื่นประจักร์,ประชากรไทย,1705,1836,-131,131
ลำปาง,3,9,นายธนภัทร ศรีปินตา,ประชาธิปัตย์,1836,1705,131,131
สกลนคร,5,7,นายธีระชัย โสนาเรือ,พลวัต,351,221,130,130
เชียงราย,6,5,นายบัณฑิต สุรินเปา,ไทยก้าวหน้า,429,301,128,128
เชียงราย,6,8,นางภัทรวัลย์ ผลไพบูลย์,พลวัต,301,429,-128,128
มหาสารคาม,6,7,นายบุรินทร์ นามโร,พรรคกล้าธรรม,419,292,127,127
มหาสารคาม,6,8,นายจักริน แดนสมปัดสา,พรรคไทยก้าวใหม่,227,103,124,124
นครศรีธรรมราช,5,8,นายมนัส พรหมเพศ,เศรษฐกิจ,384,263,121,121
นครศรีธรรมราช,5,9,ว่าที่ ร.ต.อภิรัฐ รัตนพันธุ์,ไทยก้าวใหม่,263,384,-121,121
ศรีสะเกษ,2,8,นายสุรมิตร ศรีสุรักษ์,ประชาธิปไตยใหม่,201,81,120,120
กรุงเทพมหานคร,20,6,นายพงศ์ปณตพล รักสกุลกานต์,พรรคไทยก้าวใหม่,1135,1018,117,117
นนทบุรี,8,9,นายมนูญ พรหมลักษณ์,พลังประชารัฐ,852,969,-117,117
นนทบุรี,8,6,นายณัฐชโนดม แห่งวงศ์งาม,ประชากรไทย,969,852,117,117
กรุงเทพมหานคร,3,8,นายณัฐฎ์ รุ่งเรือง,วิชชั่นใหม่,489,375,114,114
สุรินทร์,8,6,นายไพบูลย์ ศิริมา,ประชาธิปัตย์,408,521,-113,113
สุรินทร์,8,7,นายบัณฑิต ศิลาอ่อน,รวมไทยสร้างชาติ,521,408,113,113
ลำปาง,4,1,นางสาวสรินทิพย์ วงศ์วรกุลกิจ,ประชาธิปัตย์,1548,1435,113,113
สุพรรณบุรี,4,7,ว่าที่ร้อยตำรวจโท ชินทัต อุบลแย้ม,ประชาธิปัตย์,1556,1659,-103,103
เชียงราย,5,3,นายนาวิน วังแปง,ประชาชน,17405,17505,-100,100
กรุงเทพมหานคร,33,1,นายสุไพรพล เพ็ญแข,เพื่อไทย,7451,7551,-100,100
ภูเก็ต,1,3,ว่าที่ร้อยตรีสมชาติ เตชถาวรเจริญ,ประชาชน,19458,19558,-100,100
สุโขทัย,3,1,นางสาวประภาพร ทองปากน้ำ,เพื่อไทย,47416,47516,-100,100
กรุงเทพมหานคร,23,16,นายวรเมธ หวลหอม,ไทยภักดี,563,464,99,99
สุพรรณบุรี,1,3,นายอัฒพล สถิตสวรรยา,ไทยภักดี,485,388,97,97
ตาก,3,1,นายเทวฤทธิ์ เชี่ยวชาญคีรี,ประชาธิปัตย์,1484,1393,91,91
กรุงเทพมหานคร,23,10,นายกิตติธัช อยู่ดี,พลวัต,290,203,87,87
อำนาจเจริญ,1,1,นายโสนิ สุวรรณี,เพื่อบ้านเมือง,1154,1072,82,82
อำนาจเจริญ,1,9,นายศักดิ์ดา จันเทวา,พลังประชารัฐ,1072,1154,-82,82
กรุงเทพมหานคร,6,9,นายอิง อิงคตานุวัฒน์,ไทยภักดี,1388,1306,82,82
พัทลุง,3,8,ร้อยตรีพงศภัค จุลพันธ์,เศรษฐกิจ,453,379,74,74
พัทลุง,3,9,นายปิยะวุฒิ เคว็จดำ,ไทยก้าวใหม่,379,453,-74,74
มหาสารคาม,6,5,นายวรเวช ศิริประเสริฐศรี,พรรครวมไทยสร้างชาติ,292,227,65,65
ชลบุรี,5,1,นายทรงศักดิ์ แซ่ลี้,รวมไทยสร้างชาติ,917,855,62,62
กรุงเทพมหานคร,12,3,นางสาวณัฏฐามณี คณโชติพิพัฒน์,ประชาธิปไตยใหม่,430,368,62,62
อุตรดิตถ์,2,1,นายภิศิษฐ์ วงศ์ทอง,พรรคประชาชน,15595,15545,50,50
นราธิวาส,2,2,นายอามินทร์ มะยูโต๊ะ,กล้าธรรม,43594,43544,50,50
นครสวรรค์,6,8,นางสุริวัสสา เพชรสวัสดิ์,ประชาธิปไตยใหม่,123,78,45,45
ศรีสะเกษ,5,3,นายบุญเลี้ยง สว่างภพ,กล้าธรรม,619,652,-33,33
ศรีสะเกษ,5,1,นายสวัสดิ์ โพธิสาร,ประชาธิปัตย์,652,619,33,33
กาฬสินธุ์,6,1,นายณัฏฐพงศ์ โพธะศรี,เศรษฐกิจ,452,425,27,27
สุพรรณบุรี,1,8,นางสาวสุรภี สถิตสวรรยา,พลวัต,511,485,26,26
กรุงเทพมหานคร,31,5,นางสาวฐาปนี โปร่งรัศมี,พรรคไทยก้าวใหม่,727,702,25,25
ตรัง,4,3,นายสุมิตร สามห้วย,พรรคไทยก้าวใหม่,571,548,23,23
หนองคาย,2,6,นายจักรภัทร สายไธสง,ประชากรไทย,217,194,23,23
กรุงเทพมหานคร,22,14,นายปรีชา เอี่ยมอ่อน,โอกาสใหม่,182,205,-23,23
กรุงเทพมหานคร,22,13,นายวราทิตย์ ตะโกจีน,วิชชั่นใหม่,205,182,23,23
หนองคาย,2,7,นางราตรี กาลจักร์,ประชาธิปไตยใหม่,194,217,-23,23
กรุงเทพมหานคร,21,11,นายพีรพัฒน์ สุทัศนทรวง,ไทยภักดี,847,827,20,20
กรุงเทพมหานคร,21,15,ว่าที่ร้อยเอกวีรพล วงษ์มะเซาะ,ไทยสร้างไทย,475,495,-20,20
กรุงเทพมหานคร,12,5,นางสาวปราณิสา สุดวิเศษ,พลวัต,452,434,18,18
กรุงเทพมหานคร,18,3,นายฟาวาดคาน เที่ยงธรรม,รักชาติ,372,359,13,13
สุรินทร์,2,4,นายวิทยา แก้วเหลี่ยม,ประชาธิปไตยใหม่,474,463,11,11
กรุงเทพมหานคร,8,6,นายพงศ์ฐิติ พงศ์ศิลามณี,ไทยภักดี,864,857,7,7
นครสวรรค์,2,5,นายทรงศักดิ์ ส่งเสริมอุดมชัย,เพื่อไทย,28624,28620,4,4
กรุงเทพมหานคร,8,3,นายชญาพัฒน์ โปร่งปรีชา,ไทยก้าวใหม่,865,864,1,1
